CUI	CODE
C0364404	2269-9
C0880263	22763-7
C0364418	2283-0
C0364419	2284-8
C0364443	2308-5
C0364447	2312-7
C0880649	23202-5
C0364474	2336-6
C0364481	2341-6
C0364489	2349-9
C0364491	2351-5
C0881037	23658-8
C0881125	23761-0
C0881178	23820-4
C0881185	23827-9
C0881186	23828-7
C0881188	23830-3
C0881189	23831-1
C0881227	23877-4
C0881228	23878-2
C0881253	23905-3
C0881280	23940-0
C0882455	23979-8
C0364538	2398-6
C0881319	23985-5
C0881324	23991-3
C0881325	23992-1
C0881339	24007-7
C0882461	24049-9
C0881402	24082-0
C0882468	24103-4
C0881425	24110-9
C0881429	24115-8
C0881437	24124-0
C0881593	24315-4
C0881628	24357-6
C0881701	24447-5
C0881713	24462-4
C0881717	24467-3
C0881721	24471-5
C0881722	24472-3
C0881724	24475-6
C0881725	24476-4
C0364600	2460-4
C0364604	2464-6
C0364606	2466-1
C0364607	2467-9
C0364608	2468-7
C0364609	2469-5
C0364633	2492-7
C0364636	2495-0
C0364655	2514-8
C0941353	25158-7
C0941354	25159-5
C0941355	25160-3
C0941357	25162-9
C0941468	25296-5
C0364679	2536-1
C0364682	2539-5
C0941563	25416-9
C0941564	25417-7
C0364685	2542-9
C0364688	2545-2
C0364691	2548-6
C0945244	25587-7
C0941825	25742-8
C0945272	25835-0
C0364742	2598-1
C0942057	26028-1
C0942070	26043-0
C0484950	2609-6
C0364759	2614-6
C0942423	26454-9
C0945355	26455-6
C0947257	26459-8
C0942427	26460-6
C0942438	26475-4
C0942439	26476-2
C0945360	26477-0
C0942462	26500-9
C0942541	26599-1
C0942542	26600-7
C0942546	26604-9
C0942548	26606-4
C0942549	26607-2
C0942550	26608-0
C0942551	26609-8
C0942552	26610-6
C0942554	26612-2
C0942555	26613-0
C0364811	2666-6
C0364812	2667-4
C0364814	2669-0
C0364816	2671-6
C0942678	26759-1
C0945419	26880-5
C0364836	2693-0
C0942837	26955-5
C0945434	26971-2
C0942852	26975-3
C0942869	26997-7
C0364843	2700-3
C0364844	2701-1
C0945449	27057-9
C0942951	27092-6
C0942952	27094-2
C0942954	27096-7
C0945457	27113-0
C0943189	27118-9
C0943090	27265-8
C0364874	2731-8
C0945492	27320-1
C0943165	27353-2
C0943180	27374-8
C0943188	27387-0
C0943190	27389-6
C0943191	27390-4
C0943193	27392-0
C0943205	27395-3
C0364898	2755-7
C0943511	27816-8
C0943516	27821-8
C0943517	27823-4
C0945544	27831-7
C0364927	2785-4
C0943561	27873-9
C0943603	27923-2
C0943611	27932-3
C0943616	27939-8
C0362117	28-1
C0943721	28067-7
C0364955	2813-4
C0364972	2829-0
C0947240	28549-4
C0365005	2862-1
C0365008	2865-4
C0365011	2868-8
C0365014	2871-2
C0365017	2874-6
C0365032	2888-6
C0365033	2889-4
C0365034	2890-2
C0365036	2892-8
C0365042	2898-5
C0365051	2907-4
C0944641	29142-7
C0945742	29374-6
C0365087	2943-9
C0944911	29463-7
C0944954	29512-1
C0944978	29541-0
C0945770	29595-6
C0365108	2963-7
C0945065	29643-4
C0945166	29763-0
C1113710	29770-5
C0365137	2986-8
C1113787	29860-4
C1113816	29891-9
C0365134	2990-0
C1113826	29901-6
C1113829	29905-7
C1114838	29908-1
C1113832	29909-9
C0365135	2991-8
C1113833	29910-7
C1113906	29996-6
C1113944	30038-4
C1113975	30075-6
C1113976	30076-4
C1113982	30083-0
C1114864	30106-9
C1114016	30124-2
C0365157	3013-0
C1114042	30152-3
C1114869	30153-1
C1114043	30154-9
C1114053	30166-3
C1114078	30193-7
C1114079	30194-5
C1114080	30195-2
C1114081	30196-0
C1114082	30197-8
C1114083	30198-6
C1114094	30211-7
C1114106	30226-5
C1114108	30229-9
C1114886	30315-6
C1114189	30319-8
C1114193	30323-0
C0365178	3034-6
C1114234	30372-7
C1114251	30392-5
C1114261	30405-5
C1114265	30412-1
C1114903	30446-9
C1114360	30518-5
C1114913	30519-3
C1114361	30520-1
C1114363	30522-7
C1114365	30525-0
C0365214	3070-0
C0365231	3087-4
C1114695	30900-5
C1114698	30903-9
C0365242	3096-5
C1114758	30973-2
C0365258	3113-8
C1146831	31146-4
C1146832	31147-2
C1146841	31156-3
C1146844	31159-7
C1146863	31178-7
C1146868	31183-7
C1146888	31203-3
C1146889	31204-1
C1146893	31208-2
C0365270	3124-5
C0365273	3127-8
C0365274	3128-6
C1147022	31337-9
C1147091	31406-2
C0365287	3142-7
C0365295	3150-0
C0365305	3160-9
C0365312	3167-4
C1147379	31695-0
C0365325	3181-5
C0365326	3182-3
C1147702	32018-4
C0482628	3204-5
C0482642	3219-3
C1147895	32211-5
C1147899	32215-6
C1147901	32217-2
C1147904	32220-6
C1147911	32227-1
C1148039	32355-0
C1148050	32366-7
C1148203	32519-1
C1148230	32546-4
C1148238	32554-8
C1148259	32575-3
C1148260	32576-1
C1148261	32577-9
C1148262	32578-7
C1148269	32585-2
C1315098	32624-9
C1315113	32639-7
C1315128	32654-6
C1315134	32660-3
C1315166	32693-4
C0942472	32709-8
C0482720	3271-4
C1315194	32723-9
C1315201	32730-4
C1315202	32731-2
C1315260	32789-0
C1315268	32797-3
C1315270	32799-9
C0482727	3281-3
C0482728	3282-1
C1315469	32998-7
C1315470	32999-5
C1315471	33000-1
C1315472	33001-9
C1315478	33007-6
C1315508	33037-3
C1315533	33062-1
C0365547	3313-4
C0365553	3319-1
C1315665	33194-2
C0365555	3321-7
C1315688	33217-1
C1315690	33219-7
C1315724	33255-1
C0365564	3330-8
C1315786	33317-9
C0365567	3333-2
C0365569	3335-7
C1315829	33360-9
C1315983	33514-1
C1316038	33569-5
C1316095	33631-3
C1316097	33633-9
C1316102	33638-8
C1316106	33642-0
C1316226	33762-6
C0365609	3377-9
C1316235	33771-7
C1316236	33772-5
C1316264	33800-4
C1316268	33804-6
C1316289	33825-1
C1316325	33862-4
C1316326	33863-2
C1316343	33880-6
C1316345	33882-2
C1316350	33887-1
C1316353	33890-5
C1316354	33891-3
C0365620	3390-2
C1316363	33900-2
C1316384	33921-8
C0367784	3393-6
C1316402	33939-0
C1145648	3394-4
C1316407	33944-0
C1316414	33951-5
C0365644	3414-0
C0365645	3415-7
C1316636	34173-5
C1316650	34187-5
C0365665	3436-3
C1316901	34439-0
C1316931	34469-7
C1316934	34472-1
C1316937	34475-4
C1316939	34477-0
C1316949	34487-9
C1316966	34504-1
C1316981	34519-9
C1317030	34569-4
C1317032	34571-0
C1369484	34616-3
C1369493	34625-4
C1369516	34648-6
C1378397	34657-7
C1369526	34660-1
C1369527	34661-9
C1369567	34701-3
C1369582	34716-1
C1369583	34717-9
C1369595	34729-4
C1369608	34742-7
C0365720	3491-8
C0365722	3493-4
C1378227	34958-9
C1369823	34960-5
C1378237	35063-7
C1378224	35071-0
C1378223	35072-8
C1321881	3508-9
C1369918	35129-6
C1370064	35275-7
C1507465	35331-8
C1507467	35333-4
