	SPOKE	EHR
807	DB00956	12542
808	DB00956	236005
809	DB00956	234378
810	DB00956	254443
811	DB00956	31963
812	DB00956	14189
813	DB00956	36157
814	DB00956	244192
815	DB00956	244190
816	DB00956	244191
817	DB00956	77916
818	DB00956	34709
819	DB00956	35256
820	DB00956	230155
821	DB00956	103265
822	DB00956	217164
823	DB00956	217163
824	DB00956	217162
825	DB00956	220639
826	DB00956	220633
827	DB00956	227943
828	DB00956	235593
829	DB00956	233135
830	DB00956	247018
831	DB00956	247019
832	DB00956	247016
833	DB00956	247017
834	DB00956	247014
835	DB00956	247015
836	DB00956	247012
837	DB00956	247013
838	DB00956	247010
839	DB00956	247011
840	DB00956	237115
841	DB00956	2826
842	DB00956	2827
843	DB00956	32970
844	DB00956	32974
845	DB00956	24403
846	DB00956	27176
847	DB00956	27174
848	DB00956	88498
849	DB00956	43518
850	DB00956	43510
851	DB00956	35976
852	DB00956	253258
853	DB00956	247028
854	DB00956	239482
855	DB00956	43497
856	DB00956	43495
857	DB00956	235817
858	DB00956	235814
859	DB00956	235811
860	DB00956	76818
861	DB00956	88657
862	DB00956	16179
863	DB00956	214689
864	DB00956	214688
865	DB00956	243265
866	DB00956	243264
867	DB00956	243267
868	DB00956	243266
869	DB00956	243261
870	DB00956	243260
871	DB00956	243263
872	DB00956	243262
873	DB00956	243269
874	DB00956	243268
875	DB00956	28945
876	DB00956	15779
877	DB00956	39466
878	DB00956	228192
879	DB00956	233865
880	DB00956	88502
881	DB00956	28804
882	DB00956	260195
883	DB00956	43653
884	DB00956	210768
885	DB00956	210765
886	DB00956	29324
887	DB00956	29326
888	DB00956	22233
889	DB00956	22230
890	DB00956	77538
891	DB00956	27347
892	DB00956	38677
893	DB00956	15259
894	DB00956	19888
895	DB00956	19883
896	DB00956	43169
897	DB00956	31221
898	DB00956	31222
899	DB00956	34544
900	DB00956	4654
901	DB00956	41696
902	DB00956	233289
903	DB00956	230391
904	DB00956	88381
905	DB00956	3755
906	DB00956	3754
907	DB00956	3756
908	DB00956	232801
909	DB00956	145765
