CUI	Node_ID	Node_Type
C1413550	1264	Gene
C1413551	1265	Gene
C0948226	C0948226	SideEffect
C0035127	C0035127	SideEffect
C2675196	60680	Gene
C0040156	C0040156	SideEffect
C1823849	112840	Gene
C1823848	83889	Gene
C1823843	55135	Gene
C1823842	79819	Gene
C1823841	79084	Gene
C1823840	79968	Gene
C1823847	349136	Gene
C1823844	124997	Gene
C1414027	8214	Gene
C1414026	9993	Gene
C1414024	8694	Gene
C1335818	10044	Gene
C1335817	10045	Gene
C1335814	6424	Gene
C1335812	9869	Gene
C1335813	2810	Gene
C1335810	9723	Gene
C1335811	5276	Gene
C0055011	DB01416	Compound
C0055014	DB01415	Compound
C0302810	C0302810	SideEffect
C0302813	C0302813	SideEffect
C0073591	DB00817	Compound
C1539436	131583	Gene
C1539437	163933	Gene
C0031350	C0031350	SideEffect
C1412615	466	Gene
C0030409	C0030409	SideEffect
C0086132	C0086132	SideEffect
C1417337	4448	Gene
C1417334	4439	Gene
C1417335	4440	Gene
C0042373	C0042373	SideEffect
C1417330	4432	Gene
C0877303	C0877303	SideEffect
C0393444	C0393444	SideEffect
C0140610	DB00884	Compound
C2829565	440498	Gene
C2681280	728568	Gene
C1825888	10489	Gene
C2681289	388135	Gene
C0021899	C0021899	SideEffect
C0338113	C0338113	SideEffect
C1416426	3613	Gene
C1825584	444882	Gene
C0047683	DB00294	Compound
C2979982	C2979982	SideEffect
C0262469	C0262469	SideEffect
C1969654	55277	Gene
C1428084	138199	Gene
C1366909	8567	Gene
C1366903	5371	Gene
C1424622	10278	Gene
C1424623	10285	Gene
C1424620	10226	Gene
C1424621	10234	Gene
C1424627	373156	Gene
C1424624	10318	Gene
C1424624	92345	Gene
C1424625	10321	Gene
C1424628	10403	Gene
C1364508	7173	Gene
C0032739	C0032739	SideEffect
C1418618	391013	Gene
C0852911	C0852911	SideEffect
C0018916	C0018916	SideEffect
C1412205	8756	Gene
C1412207	8754	Gene
C1539026	28984	Gene
C0235324	C0235324	SideEffect
C0235325	C0235325	SideEffect
C0235328	C0235328	SideEffect
C0235329	C0235329	SideEffect
C1539029	387923	Gene
C1412208	9509	Gene
C1416542	10300	Gene
C0016514	C0016514	SideEffect
C0016512	C0016512	SideEffect
C1096188	C1096188	SideEffect
C0852203	C0852203	SideEffect
C1422505	22931	Gene
C1422507	64386	Gene
C1422501	66035	Gene
C1422110	84893	Gene
C1422503	81492	Gene
C1422502	55512	Gene
C1422509	51586	Gene
C1422508	10632	Gene
C0023798	C0023798	SideEffect
C0542165	C0542165	SideEffect
C0023795	D008065	Symptom
C0023791	DB00166	Compound
C1539685	56475	Gene
C1539689	6192	Gene
C1096458	C1096458	SideEffect
C0020443	C0020443	SideEffect
C0020440	C0020440	SideEffect
C0020440	D006935	Symptom
C0013928	C0013928	SideEffect
C0013927	C0013927	SideEffect
C0013922	C0013922	SideEffect
C1413156	10951	Gene
C1413157	84733	Gene
C1413154	873	Gene
C1413155	874	Gene
C1413152	147381	Gene
C1413153	871	Gene
C1413150	866	Gene
C1413151	869	Gene
C1413158	11335	Gene
C1413159	8535	Gene
C1414533	10160	Gene
C0023860	C0023860	SideEffect
C1425999	1163	Gene
C0023863	DB00589	Compound
C1425997	85456	Gene
C1425996	57134	Gene
C1425995	58473	Gene
C1425994	50854	Gene
C1425993	259197	Gene
C1425992	57827	Gene
C1425991	8563	Gene
C1425990	57187	Gene
C1539977	81501	Gene
C1539976	79853	Gene
C1539975	116211	Gene
C1539974	116441	Gene
C1539970	79816	Gene
C1539979	23023	Gene
C1539978	9777	Gene
C1697883	C1697883	SideEffect
C1538088	11152	Gene
C1538084	139425	Gene
C1538085	347442	Gene
C1538086	23160	Gene
C1538087	54521	Gene
C1538080	25853	Gene
C1538081	139170	Gene
C1538082	55255	Gene
C1538083	50717	Gene
C1428556	64763	Gene
C0333472	C0333472	SideEffect
C0751192	D006261	Symptom
C1426971	80017	Gene
C1426973	79820	Gene
C1426974	283375	Gene
C1426975	126961	Gene
C1426977	333932	Gene
C1426978	92815	Gene
C1426979	317772	Gene
C1735634	C1735634	SideEffect
C1735630	C1735630	SideEffect
C0162703	D017288	Symptom
C1539517	9982	Gene
C0589616	C0589616	SideEffect
C1826563	23037	Gene
C1826562	3651	Gene
C1826561	57107	Gene
C1826560	10630	Gene
C1826567	27043	Gene
C1414318	10938	Gene
C1826565	5037	Gene
C1419148	5827	Gene
C1419147	5824	Gene
C1414314	1958	Gene
C1414314	7768	Gene
C1826569	345456	Gene
C1826568	10471	Gene
C1419143	5819	Gene
C1419142	5818	Gene
C1419141	5817	Gene
C1824986	90527	Gene
C0005586	C0005586	SideEffect
C1824980	147991	Gene
C2363949	C2363949	SideEffect
C0349489	D005311	Symptom
C2239803	54825	Gene
C0853960	C0853960	SideEffect
C1334307	3814	Gene
C1334306	3791	Gene
C0013312	C0013312	SideEffect
C1334308	3817	Gene
C0005320	DB00195	Compound
C0005324	DB00217	Compound
C1413934	1635	Gene
C1413935	1639	Gene
C1413936	10540	Gene
C1413937	11258	Gene
C1413930	1634	Gene
C1413931	1636	Gene
C2681417	79962	Gene
C1413933	1638	Gene
C2681419	84277	Gene
C1425233	11188	Gene
C1425230	56993	Gene
C1425231	167826	Gene
C1413938	1641	Gene
C1425237	54834	Gene
C1425234	152007	Gene
C1425235	64359	Gene
C1427895	64172	Gene
C1416920	4043	Gene
C1428840	57732	Gene
C1427897	83714	Gene
C1427890	79090	Gene
C0120107	DB00014	Compound
C0231341	D019588	Symptom
C1416929	4054	Gene
C0086565	C0086565	SideEffect
C1420468	9263	Gene
C1825138	653820	Gene
C0239375	C0239375	SideEffect
C0233718	C0233718	SideEffect
C1825131	138311	Gene
C1825130	388650	Gene
C1420462	10963	Gene
C1420463	6793	Gene
C1420464	9212	Gene
C1420465	6795	Gene
C1420466	6790	Gene
C1420467	8576	Gene
C1428259	79837	Gene
C1428258	200576	Gene
C1428253	440515	Gene
C1824756	7401	Gene
C1428257	57504	Gene
C1428256	22847	Gene
C1428255	84271	Gene
C1428254	26073	Gene
C1424548	23057	Gene
C0031117	C0031117	SideEffect
C0332798	C0332798	SideEffect
C1424541	81627	Gene
C1424540	80896	Gene
C1417033	4139	Gene
C0031111	C0031111	SideEffect
C1424544	54823	Gene
C2004435	C2004435	SideEffect
C0034544	C0034544	SideEffect
C0038432	DB00428	Compound
C1416889	4009	Gene
C1416888	56203	Gene
C0038435	C0038435	SideEffect
C1416883	8543	Gene
C1416882	55885	Gene
C1416881	4004	Gene
C1416887	442721	Gene
C1416886	25802	Gene
C1416885	4008	Gene
C1416884	4007	Gene
C1417130	4241	Gene
C1417130	4520	Gene
C1417132	8972	Gene
C0235048	C0235048	SideEffect
C1417134	4247	Gene
C1417135	4248	Gene
C1417136	11320	Gene
C1417137	11282	Gene
C1417138	4249	Gene
C1417139	4250	Gene
C2680427	11017	Gene
C2680426	79622	Gene
C0266011	C0266011	SideEffect
C0006949	DB00564	Compound
C0006945	DB00411	Compound
C1427168	57181	Gene
C1427169	64116	Gene
C1427164	79923	Gene
C1427165	23516	Gene
C1427166	91252	Gene
C1427167	221074	Gene
C1427160	153830	Gene
C1427161	83591	Gene
C1427162	90326	Gene
C1427163	55145	Gene
C0267941	C0267941	SideEffect
C0267940	C0267940	SideEffect
C0007097	C0007097	SideEffect
C0007095	C0007095	SideEffect
C1822668	9117	Gene
C1822669	22872	Gene
C1418374	5108	Gene
C1418372	5106	Gene
C1418371	5105	Gene
C1418370	5104	Gene
C0037011	C0037011	SideEffect
C0037011	D020069	Symptom
C0549418	C0549418	SideEffect
C0549419	C0549419	SideEffect
C0549410	C0549410	SideEffect
C1843897	10886	Gene
C1825819	389421	Gene
C3472155	138716	Gene
C0288165	DB00705	Compound
C1427788	90293	Gene
C0019572	C0019572	SideEffect
C0019572	D006628	Symptom
C1427285	26002	Gene
C2677318	55652	Gene
C1537508	386672	Gene
C1537509	386674	Gene
C1823263	9894	Gene
C1823262	150483	Gene
C1823261	127670	Gene
C1823260	126668	Gene
C2677317	64223	Gene
C1537501	3827	Gene
C1537502	3845	Gene
C1823264	54997	Gene
C0060156	DB08981	Compound
C1262535	C1262535	SideEffect
C1419428	6295	Gene
C1419428	9616	Gene
C1419429	9025	Gene
C0520904	C0520904	SideEffect
C0520904	D020250	Symptom
C1419420	56254	Gene
C1419421	53840	Gene
C1419422	10612	Gene
C1419423	56658	Gene
C1419425	6047	Gene
C1419425	8926	Gene
C1419426	6048	Gene
C1419427	6049	Gene
C0267055	C0267055	SideEffect
C1825141	84895	Gene
C1426780	51241	Gene
C1426787	55237	Gene
C1426786	83694	Gene
C1426785	51077	Gene
C0262666	C0262666	SideEffect
C1426789	26153	Gene
C1426788	8193	Gene
C0262662	C0262662	SideEffect
C0077144	DB01108	Compound
C1970234	767558	Gene
C1842851	55620	Gene
C2748512	644096	Gene
C1332448	2972	Gene
C1332449	55290	Gene
C1421788	7582	Gene
C1421789	80778	Gene
C1421786	7580	Gene
C1421787	7581	Gene
C1421784	7579	Gene
C1421785	55905	Gene
C1421782	91975	Gene
C1421780	7551	Gene
C1421781	90075	Gene
C0032533	C0032533	SideEffect
C0024977	DB00579	Compound
C0948525	C0948525	SideEffect
C0522214	C0522214	SideEffect
C0948521	C0948521	SideEffect
C0948522	C0948522	SideEffect
C0035629	DB00478	Compound
C1421254	7307	Gene
C1421256	6675	Gene
C1421257	7311	Gene
C1421250	7299	Gene
C0263536	C0263536	SideEffect
C1384617	51176	Gene
C0016751	C0016751	SideEffect
C3147063	388559	Gene
C0151859	C0151859	SideEffect
C0151854	C0151854	SideEffect
C1415216	2846	Gene
C1415215	2845	Gene
